gender,marriage,edu,job,mincome,aware,count,amount,decision,propensity,skin,promo,location,satisf_b,satisf_i,satisf_al,repurchase
2,2,4,7,4,1,36,15000,3,1,3,2,2,2,4,4,4
1,2,8,3,6,14,1,200000,3,3,3,4,1,3,5,4,4
1,2,8,3,4,2,9,500000,1,1,4,4,2,2,3,3,3
2,1,4,4,3,3,5,100000,3,3,2,3,4,3,2,3,3
1,1,2,1,2,31,3,30000,3,1,3,1,3,3,4,4,3
1,2,4,4,3,2,3,20000,3,1,1,1,3,3,3,3,4
1,1,4,1,2,1,1,10000,1,1,1,1,1,1,1,1,1
1,2,8,3,6,2,2,30000,2,1,1,2,2,3,3,3,3
1,2,6,3,6,2,1,5000000,1,3,5,4,1,3,4,4,4
1,1,2,1,4,2,3,110000,2,3,1,4,3,3,3,4,3
1,1,2,1,1,1,5,100000,3,3,1,1,2,4,4,4,4
1,2,8,2,6,15,1,50000,3,2,1,1,1,4,4,4,4
1,2,4,6,6,4,3,150000,1,2,3,3,3,2,4,4,4
1,2,4,4,2,3,1,50000,3,2,5,1,3,3,3,4,4
2,2,4,7,3,2,3,20000,1,1,1,2,2,3,3,2,3
1,2,2,6,1,15,1,10000,3,2,4,3,3,4,3,3,3
1,1,5,8,1,2,5,40000,3,1,4,2,3,2,4,4,4
2,2,4,4,2,2,2,470000,2,1,1,2,3,3,3,3,3
2,1,4,2,3,1,10,100000,2,3,3,4,1,4,5,4,4
1,1,3,8,1,2,4,30000,3,2,5,2,3,3,4,4,4
1,2,6,3,6,2,3,50000,3,2,3,2,3,3,3,3,3
2,2,4,7,6,1,10,50000,3,3,5,2,1,4,4,4,4
1,2,6,2,6,2,3,150000,2,2,3,2,3,2,4,4,4
2,1,6,4,3,2,6,200000,3,3,1,2,1,4,3,4,4
2,2,4,7,1,2,2,70000,3,2,3,1,3,3,3,4,4
2,1,7,8,2,2,5,35000,3,2,1,2,2,3,4,4,3
2,2,4,4,4,6,10,40000,1,1,1,2,3,3,4,4,4
1,1,4,6,1,2,1,10000,3,1,3,2,2,3,2,3,3
1,1,4,6,1,2,1,5000,3,1,3,2,2,2,3,3,3
2,2,4,4,6,1,10,200000,2,2,1,1,1,3,3,3,3
2,1,4,4,2,2,3,30000,3,1,5,2,2,3,4,3,4
1,2,4,3,3,2,2,5000,3,1,5,2,2,2,4,4,4
2,2,4,5,2,1,10,30000,2,2,2,4,3,3,4,4,4
1,2,4,6,6,7,5,50000,3,2,4,2,2,3,4,4,4
1,2,4,1,4,1,1,10000,1,3,1,1,1,5,1,3,1
1,1,4,4,3,2,1,10000,1,1,4,3,2,2,3,3,3
1,1,4,4,3,2,3,50000,3,2,5,2,3,2,4,4,4
1,2,2,5,4,2,1,60000,1,1,1,4,5,3,3,3,3
1,1,6,1,3,2,2,50000,3,2,5,1,2,4,4,3,4
2,2,6,4,6,1,3,500000,3,3,5,2,1,3,4,4,4
1,2,4,1,3,2,1,50000,3,2,1,2,3,2,3,3,3
